Account Name,NIP*
MPO SP. Z O.O.,5420201038
LIBERTY PROPERTIES SP. Z O.O.,9820381833
HOVET - ZBIGNIEW SIWIEC, PIOTR DARDZIŃSKI W UPADŁOŚCI,7140001635
MPL POWER ELEKTRO SP. Z O.O.,6312457646
LIBERTY CORPORATION 2 SP. Z O.O.,9820388143
MPK PURE HOME SP. Z O.O.,7582117004
HOUGHTON POLSKA SP. Z O.O.,5272218827
LHG SP. Z O.O.,1181940172
HOTELS CONSTRUCTION SP. Z O.O. SP. K.,5213831466
MPC METAL SP. Z O.O.,9462602229
LFB POLSKA SP. Z O.O.,1181559868
HOTEL ARŁAMÓW S.A.,6891093258
MP PRODUCTION SP. Z O.O.,6272734311
MP MANAGEMENT SP. Z O.O.,7010400130
LEXUS ŁÓDŹ SP. Z O.O.,7252157420
HOSSANOVA 2 SP. Z O.O.,8943143289
MOWI NUTRITION GOLENIÓW SP. Z O.O.,8393221190
HOSSANOVA 1 SP. Z O.O.,8943133285
LEX LOGISTICS SP. Z O.O.,1231523388
MOTORENT SP. Z O.O.,5220005166
LEWIATAN MARKET SP. Z O.O.,6761740334
HOSSA.BIZ SP. Z O.O.,5862206966
MOTO-REMO BURZYŃSCY SP. K.,7441003913
LEWANDPOL ŁAŃCUT SP. Z O.O.,8151764188
HORTINO ZAKŁAD PRZETWÓRSTWA OWOCOWO-WARZYWNEGO LEŻAJSK SP. Z O.O.,8161509351
MOTO WEKTOR SP. Z O.O.,5532420403
LEWANDPOL HOLDING SP. Z O.O.,5252588751
MOTO BUDREX SP. Z O.O.,5540235790
HORTIMEX SP. Z O.O.,6650001935
LEWANDOWSKA SP. Z O.O. SP. K.,9721278747
MOSTOSTAL PŁOCK S.A.,7740006210
HORTICO S.A.,8942944952
LEVERX POLAND SP. Z O.O.,5213916814
MOSTOSTAL KIELCE S.A.,6570242329
HOREX A. I E. HOROSZKIEWICZ SP. J.,9260008670
LEVANT FOODS SP. Z O.O.,7792427113
MORSKA STOCZNIA REMONTOWA GRYFIA S.A.,8510101419
HOPI PL POLAND SP. Z O.O.,5272681413
LET&BE SP. Z O.O.,8241818172
MOREX SP. Z O.O.,9570763432
HOOP POLSKA SP. Z O.O.,5272525699
LEOPOLD TRADING SP. Z O.O.,7010599226
MORAJ SP. Z O.O. SP. K.,6423128667
HONEYWELL SERVICES POLAND SP. Z O.O.,5213861697
LENZE-TARNÓW SP. Z O.O.,9541568656
MONDI SP. Z O.O.,7010272689
HOME CARE SERVICE SP. Z O.O.,6793177824
LENOVO TECHNOLOGY B.V. SP. Z O.O. ODDZIAŁ W POLSCE,1070001985
MONA-KONTRA SP. Z O.O.,8441961922
HOLLYWOOD TEXTILE SERVICE SP. Z O.O.,7761627087
LENDI SP. Z O.O.,8522625163
MOKATE S.A.,5482135881
HOLLYWOOD S.A.,7761698650
LENAAL SP. Z O.O. SP. K.,7962979189
MOËT HENNESSY POLSKA SP. Z O.O.,9512234740
HOLIDAY PARK & RESORT SP. Z O.O. SP. K.,7851800879
LENA WILKÓW SP. Z O.O.,6941582196
MODZELEWSKI & RODEK SP. Z O.O.,5262200553
HOLDING-ZREMB GORZÓW S.A.,5971401448
LENA LIGHTING S.A.,7861616166
MODUMPHARMA SP. Z O.O.,5252671050
HOLDING HUNTERS SP. Z O.O. SP. K.,9950254487
LEMVIGH-MÜLLER A/S S.A. ODDZIAŁ W POLSCE,5262998491
MODOM PODHALE SP. Z O.O.,6770004557
HOLDING CHIM TORG SP. Z O.O. SP. K.,5423373633
MODERNFEED SP. Z O.O.,9910496416
LEMARPOL - WÓZKI WIDŁOWE SP. Z O.O.,6760016783
MODERNA POLAND SP. Z O.O.,5272963548
LEMAR R.L.E. LEŚNIAK SP. J.,6820004460
HOFFMANN TRANSPORT SP. Z O.O.,5562708600
MODERNA HOLDING SP. Z O.O.,5862307288
LEMAR ELECTRIC SP. Z O.O.,2220892160
HOFFMAN SCHROFF POLAND SP. Z O.O.,6912303495
MODERN RECYCLING SP. Z O.O.,8943191176
LEMAHIEU POLSKA SP. Z O.O.,5811774353
HODOWLA ROŚLIN STRZELCE SP. Z O.O. - GRUPA IHAR.,7752211186
MODENA M.A. TOKARSKI SP. J.,5472035712
LEMA FOOD COMPANY SP. Z O.O.,9252099646
HODOWLA ROŚLIN SMOLICE SP. Z O.O. - GRUPA IHAR,6211619001
MOBILE-TRAFFIC-DATA SP. Z O.O.,9721188889
LELLEK KATOWICE SP. Z O.O.,7543195419
MOBILE CLIMATE CONTROL SP. Z O.O.,8942598390
HN GLOBAL BUSINESS SERVICES CENTER KRAKÓW SP. Z O.O.,6762458723
LEKS SP. Z O.O.,5961000297
MOBILBOX POLSKA SP. Z O.O.,1231276004
HL DISTRIBUTION CENTER EUROPE SP. Z O.O.,9691582008
LEIBER-POLAND SP. Z O.O.,6411003730
MOBICA LIMITED SP. Z O.O. ODDZIAŁ W POLSCE,1080002207
HL DISPLAY GLIWICE SP. Z O.O.,9691581569
LEGARTO LOGISTIC SP. Z O.O.,9291824011
MMR GROUP SP. Z O.O.,5841016120
HKL DEKORACJA OKIEN SP. Z O.O.,9551942642
LECHPOL ELECTRONICS LESZEK SP. K.,8262194280
MMP PREMIUM POLSKA SP. Z O.O.,9532724720
HIKVISION POLAND SP. Z O.O.,7010426661
MM SYSTEMY SP. Z O.O.,9910494831
LECH FABRICS SP. Z O.O. SP. K.,7773335114
MM LUBLIN SP. Z O.O.,5272643246
LEASYS POLSKA SP. Z O.O.,5213236605
HIGHWAY AUTOMOTIVE SP. Z O.O.,6793031902
MM CARS KOŚCIUSZKI SP. Z O.O.,6342781564
LEASING POLSKI SP. Z O.O.,5851371265
HIGH TECHNOLOGY MACHINES SP. Z O.O.,6312550386
MM - PLUS SP. Z O.O.,8951631804
LAZUR - SPÓŁDZIELCZY ZWIĄZEK GRUP PRODUCENTÓW ROLNYCH,6180042255
HIFI FILTER POLSKA SP. Z O.O.,1090002893
M-LINE SP. Z O.O.,9970011049
LAUBER SP. Z O.O.,8392756865
MLECZARNIA OSTROWIA SP. Z O.O.,7591756784
HICRON SP. Z O.O.,8942854019
LATTERIA - TINIS SP. Z O.O.,9281718224
ML SYSTEM+ SP. Z O.O.,5170363419
HI KRZEMIENIECKA I SP. Z O.O.,5272827383
LARIX JANUSZ PIEŁA S.K.A.,5471948356
MKRI SP. Z O.O.,5792247657
HGBS FINANSE S.A.,6423118002
LANTRE SP. Z O.O.,1231322715
MKAJ SKORUPA SP. Z O.O.,5272534037
LANGENDORF POLSKA SP. Z O.O.,5252782507
HFTRADECO RAFAŁ HERZYK SP. K.,9372720706
MK SP. Z O.O.,5272472856
LANDOTECH MOBILE SP. Z O.O.,8943044512
HEXONIC SP. Z O.O.,5840251681
MK INVESTMENTS SP. Z O.O.,8393177833
MIXPOL SP. Z O.O.,5532583393
HEWEA SP. Z O.O.,8981957433
LANDCAR SP. Z O.O. SP. K.,7292703857
HEWALEX SP. Z O.O. SP. K.,6521703641
MITSUI HIGH-TEC (EUROPE) SP. Z O.O.,5252764857
LAMINTEX SP. Z O.O.,7343408419
MITCAR D. I P. KRASNODĘBSKI SP. J.,9510043585
LAMINOPOL SP. Z O.O.,8390202364
HESSO-OIL SP. Z O.O.,5222640487
MISTA SP. Z O.O.,8650003160
LAMEL ROZDZIELNICE SP. Z O.O.,5891948765
HESPON SP. Z O.O.,5252712263
MIRPASZ SP. Z O.O.,7182141772
LAMBDA S.A.,7260001069
HERMES POLSKA SP. Z O.O.,7811633197
MIROSŁAW BONIECKI S.K.A.,5252523220
LAMA PLUS POLSKA SP. Z O.O.,6331910271
HERMES FULFILMENT SP. Z O.O.,5272955017
LALLEMAND POLSKA SP. Z O.O.,1181516988
MIRO SP. Z O.O.,6971934576
HERKULES WIRE SP. Z O.O.,7872114439
LAKMA STREFA SP. Z O.O.,6331950891
HERKULES SP. Z O.O.,7870022041
MIRATRANS TRANSPORT SP. Z O.O.,7322182068
LAKMA SP. Z O.O.,5480075525
MIRACLE ART SP. Z O.O.,7133116544
HERKULES S.A. W RESTRUKTURYZACJI,9512032166
LAGUNA USTARBOWSKI TADEUSZ, REKOWSKI SYLWESTER SP. J.,5871487195
MINOVA ARNALL SP. Z O.O.,5741000496
HERBUD SP. Z O.O.,6431683604
LABORATORIUM KOSMETYKÓW NATURALNYCH FARMONA SP. Z O.O.,6772197862
MINIMAXX SOFA SP. Z O.O.,7771796302
HERBSTREITH&FOX JASŁO SP. Z O.O.,6851651083
LABORATORIUM KOSMETYCZNE JOANNA B. GÓRKA, R. KORCZAK SP.J.,1180024208
MINIMAX POLSKA SP. Z O.O.,1180946511
LABO PRINT S.A.,7792385780
HERBALIFE POLSKA SP. Z O.O.,5260028831
MINERALS DC NOWAK SP. Z O.O. SP. K.,5833245538
KZN RAIL SP. Z O.O.,6793092654
HENSFORT SP. Z O.O.,7952233643
MINERAL POLSKA SP. Z O.O.,5221022066
KZA PRZEDSIĘBIORSTWO AUTOMATYKI I TELEKOMUNIKACJI S.A.,9462187196
HENNIGER INVESTMENT S.A.,6350000742
MINDBOX S.A.,5222863827
KYUNGSHIN CABLE POLAND SP. Z O.O.,8961574841
HENGST FILTER POLSKA SP. Z O.O.,8992800563
MILL-YON AURA SP. Z O.O.,7010839908
KYNDRYL POLAND SP. Z O.O.,5252843640
HENGLEIN POLSKA SP. Z O.O.,6342226590
MILITUS-PL SP. Z O.O.,9581669866
KWS LOCHOW POLSKA SP. Z O.O.,9141049007
HELIMED DIAGNOSTIC IMAGING SP. Z O.O. SP. K.,6342297288
MIKSTOL POWIDZKI SP. K.,7792535771
KWE AB ENERGY POLSKA SP. Z O.O.,9372337858
MIKO-TECH SP. Z O.O.,6351814493
HEISTERKAMP TRANSPORT SP. Z O.O.,8512905895
KWANGJIN POLAND SP. Z O.O.,6462931150
MIKOMAX SP. Z O.O. SP. K.,7282735086
MIKOŁAJCZAK A SP. K.,9671356059
HEICHE POLSKA SP. Z O.O.,8971713149
KVERNELAND GROUP POLSKA SP. Z O.O.,9561874468
MIK FOOD MARCIN POBŁOCKI MICHAŁ POBŁOCKI SP. J.,5862302500
KUŹNIA-TRANS SP. Z O.O.,9542761616
HEGEN EUROPE SP. Z O.O.,6372189669
MIĘDZYGMINNY KOMPLEKS UNIESZKODLIWIANIA ODPADÓW PR,9532559741
KUŹNIA SUŁKOWICE S.A.,6810004760
MIELE SP. Z O.O.,5251837979
HEATPEX SP. Z O.O.,5832853709
KUŹNIA MATRYCOWA SP. Z O.O.,9462337230
MIEJSKIE ZAKŁADY KOMUNIKACYJNE SP. Z O.O.,5540314041
HEATING SP. Z O.O.,8132705606
KUVERT POLSKA SP. Z O.O.,9231003173
MIEJSKIE PRZEDSIĘBIORSTWO OCZYSZCZANIA ŁÓDŹ SP. Z O.O.,7260019767
KUTNOWSKI SZPITAL SAMORZĄDOWY SP. Z O.O.,7752631681
HEALTH LABS CARE S.A.,9662131622
HEALTH HOLDING SP. Z O.O.,6793139137
MIEJSKIE PRZEDSIĘBIORSTWO KOMUNIKACYJNE - RZESZÓW SP. Z O.O.,5170237413
KUM YOUNG ENG POLSKA SP. Z O.O.,8943119138
MIEJSKIE PRZEDSIĘBIORSTWO KOMUNIKACYJNE - LUBLIN SP. Z O.O.,7120157966
KULCZYK LOGISTICS SP. Z O.O.,6040233771
HAUSER POLSKA SP. Z O.O.,9720939968
MIEJSKIE PRZEDSIĘBIORSTWO KOMUNIKACJI SP. Z O.O. W KIELCACH,9591503630
KUKA CEE GMBH SP. Z O.O. ODDZIAŁ W POLSCE,2050001333
HARVEST EU SP. Z O.O.,6772485153
MIEJSKIE PRZEDSIĘBIORSTWO GOSPODARKI KOMUNALNEJ SP,6340128630
KUJAWSKO - POMORSKIE CENTRUM PULMONOLOGII W BYDGOSZCZY,5542236658
HARTING POLSKA SP. Z O.O.,8951892491
MIEJSKIE PRZEDSIĘBIORSTWO GOSPODARKI KOMUNALNEJ - RZESZÓW SP. Z O.O.,8130009854
KUJAWSKI TRUCK CENTER SP. Z O.O.,8792595041
HARTBEX PRZEDSIĘBIORSTWO BUDOWLANE SP. Z O.O.,8130333649
MIEJSKIE PRZEDSIĘBIORSTWO GOSPODARKI KOMUNALNEJ - KROŚNIEŃSKI HOLDING KOMUNALNY SP. Z O.O.,6840001341
KUJAWSKA SPÓŁDZIELNIA MIESZKANIOWA W INOWROCŁAWIU,5560801382
MIEJSKIE PRZEDSIĘBIORSTWO ENERGETYKI CIEPLNEJ W ŁOMŻY SP. Z O.O.,7180000145
HART LOGISTICS SP. Z O.O. SP. K.,7792413387
KTM S.A.,8581821405
MIEJSKIE PRZEDSIĘBIORSTWO ENERGETYKI CIEPLNEJ SP. Z O.O.,8880205453
HARMAN CONNECTED SERVICES POLAND SP. Z O.O.,7251945575
KT - KINETICS TECHNOLOGY S.A. ODDZIAŁ W POLSCE,1080026248
MIEJSKIE PRZEDSIĘBIORSTWO ENERGETYKI CIEPLNEJ - KO,6650001154
HARARELWOOD TRANS SP. Z O.O.,7831766926
KSB POLSKA SP. Z O.O.,5260021183
MIEJSKIE CENTRUM MEDYCZNE IM. DR. KAROLA JONSCHERA W ŁODZI,7282289592
HAPAM POLAND SP. Z O.O.,9471891316
MIEJSKI ZAKŁAD KOMUNIKACJI WEJHEROWO SP. Z O.O.,5881999910
KS PL TRADE S.A.,7252167789
HAPAG-LLOYD AKTIENGESELLSCHAFT () ODDZIAŁ W POLSCE,2040005832
MIEJSKI ZAKŁAD KOMUNIKACJI W TORUNIU SP. Z O.O.,8790177233
KRYSIAK SP. Z O.O.,7811903679
HAP ARMATURA GRUPA SBS SP. Z O.O.,7120168964
MIEJSKI SZPITAL ZESPOLONY W OLSZTYNIE,7392955802
KRYPTONIM SP. Z O.O.,5273040828
HANZA ELECTRONICS PRABUTY SP. Z O.O.,5932442756
MIEJSKI SZPITAL ZESPOLONY,9491763544
KRUSZYWO SP. Z O.O.,8411348795
HANZA ELECTRONICS BRZEG DOLNY SP. Z O.O.,5851441126
MIEJSKA ENERGETYKA CIEPLNA W KOŁOBRZEGU SP. Z O.O.,6710011275
KRUSZYWA SKSM S.A.,8520500173
HANSGROHE SP. Z O.O.,7781105908
MIEJSKA ENERGETYKA CIEPLNA SP. Z O.O.,6610000208
KREX SP. Z O.O.,5422424624
HANDSMAN SP. Z O.O.,9482551564
MICROSTRATEGY POLAND SP. Z O.O.,5252370006
KRAT-MET DARIUSZ I PRZEMYSŁAW SZYMANIUK SP. J.,8390406753
MIBAU STEMA POLSKA SP. Z O.O.,8520505331
HANDEL ZWIERZĘTAMI I PŁODAMI ROLNYMI JANUSZ I TOMASZ GŁOGOWSCY SP.J.,7752164877
KRAMEL INVEST SP. Z O.O. SP. K.,7712263662
MIASTECZKO JUTRZENKI I SP. Z O.O.,5272875488
HAMELIN POLSKA SP. Z O.O.,6770046685
KRAKTRANSREM SP. Z O.O.,6792974292
MGT MARTA TATAJ, ANDRZEJ DYMEK SP. J.,8341571050
HAMBURGER RECYCLING POLSKA SP. Z O.O.,7542853180
MGR GRUPA SP. Z O.O.,7811917983
KRAKÓW - PĘKOWICKA - EKO-PARK SP. Z O.O. SP. J.,5213581325
HALMAR A.MYSIOR, W.GĘSIORSKI SP. K.,8652255670
MGM PROJEKT SP. Z O.O.,6342873817
KRAKOWSKIE ZAKŁADY EKSPLOATACJI KRUSZYWA S.A.,6792478943
HAKO TECHNOLOGY SP. Z O.O.,7821976958
MGL SP. Z O.O.,5342275866
KRAKOWSKIE POGOTOWIE RATUNKOWE,6751198968
HAJDUK PODŁOŻE DO PIECZAREK SP. Z O.O.,4970092602
MGGP S.A.,7342480395
KRAKBAU S.A.,6770044924
HAGS POLAND SP. Z O.O.,5252662476
MGBUILDING GROUP SP. Z O.O.,9591965916
KRAJOWY REJESTR DŁUGÓW BIURO INFORMACJI GOSPODARCZEJ S.A.,8951794707
HADEPOL FLEXO SP. Z O.O.,8921454958
MEYN POLSKA SP. Z O.O.,8411173019
KRAJOWE ZRZESZENIE LUDOWE ZESPOŁY SPORTOWE,5220010078
HACZEK SP. Z O.O.,9372719324
MEYER TOOL POLAND SP. Z O.O.,6182038223
KRAJOWA SPÓŁDZIELCZA KASA OSZCZĘDNOŚCIOWO-KREDYTOWA,5860103848
H2STAMPING POLAND SP. Z O.O. SP. K.,6912258955
MEWO S.A.,5833159342
KRAFTTRANS TAURUS SP. Z O.O.,5213880950
MEWA TEXTIL-SERVICE SP. Z O.O.,6443285654
H2A SP. Z O.O. SP. K.,7123275732
KPMG SP. Z O.O.,5260202393
H+H SILIKATY SP. Z O.O.,7582016208
METZŁOM SP. Z O.O.,8392116918
KPMG ADVISORY SP. Z O.O. SP. K.,5272548878
H. ESSERS TRANSPORT COMPANY POLAND SP. Z O.O.,7732286821
METROPOLITAN INVESTMENT S.A.,7010564311
KPI ( KOREA PLASTIC INDUSTRY) SP. Z O.O.,7543112623
METROLOG SP. Z O.O.,7631861838
H. CEGIELSKI - POZNAŃ S.A.,7770000198
KOWALCZYK ZBOŻA SP. K.,7133090069
METPOL SP. Z O.O.,9721036582
H&S STEEL SP. Z O.O. SP. K.,9372639631
KOWALCZYK MATERIAŁY BUDOWLANE SP. Z O.O.,9522240920
METFIX SP. Z O.O.,7743254486
KOTNIZ SP. Z O.O. SP. K.,9662114285
H 500 SP. Z O.O. P1 SP. K.,5252791009
KOTAR SP. Z O.O.,9170002793
METALPOL WĘGIERSKA GÓRKA SP. Z O.O.,5471880753
H 500 SP. Z O.O. P 500 S.K.A.,5592026035
KOŚCIERSKIE PRZEDSIĘBIORSTWO PRODUKCYJNO-USŁUGOWE UNIBUD SP. Z O.O.,5910004463
H 500 SP. Z O.O. G 540 SPÓŁKA KOMANDYTOWO - AKCYJNA,5591836915
METALIS POLSKA SP. Z O.O.,1230980391
KOSZALIŃSKA SPÓŁDZIELNIA MIESZKANIOWA PRZYLESIE,6690501756
H 500 SP. Z O.O. G 520 S.K.A.,5591831929
METALFER POLONIA SP. Z O.O.,5472076332
KOST-BET K. P. MATYJA SP. K.,5732254961
H 500 SP. Z O.O. G 500 SPÓŁKA KOMANDYTOWO - AKCYJNA,5591739514
KOSMET-HURT J WNUK SP. K.,5372669848
METALERG SP. Z O.O.,9120001515
GYNCENTRUM SP. Z O.O.,6342963845
METAL SERVICE CENTER SP. Z O.O.,5252420388
KORYB SP. Z O.O. SP. K.,5871523318
MERLIMI SP. Z O.O.,1132939298
GVM POLAND SP. Z O.O.,6772471895
KORPORACJA GOSPODARCZA EFEKT S.A.,6760077402
MERKURY S.A.,5423228109
GUOTAI - HUARONG (POLAND) SP. Z O.O.,8992839878
KORPO SP. Z O.O.,6951000095
MERKURY MARKET SP. Z O.O. LAND S.K.A.,6842635558
GUESS POLAND SP. Z O.O.,5842718491
KORNIX SP. Z O.O.,5922081618
MERKURY MARKET S.A.,6842537494
KOREE SP. Z O.O.,5272420753
GTV OFFICE SP. Z O.O.,9910514597
MERKURY AKCESORIA MEBLOWE MARIUSZ ADAMCZYK SP. Z O.O.,5512655876
KORCZYK SP. Z O.O. SP. K.,5472152116
GTI SP. Z O.O.,6772180152
MERITUM GRUPA BUDOWLANA SP. Z O.O. SP. K.,6282250649
KOPALNIE PORFIRU I DIABAZU SP. Z O.O.,9441940665
MERIT POLAND SP. Z O.O.,6793136110
GT SERVICES SP. Z O.O.,5260311751
KOPALNIA WĘGLA BRUNATNEGO SIENIAWA SP. Z O.O.,6341907974
MERIDA POLSKA SP. Z O.O.,6312300850
GT POLAND SP. Z O.O.,5481043243
MERCUS-BUS SP. Z O.O.,5342494723
KONSTRUKTION SP. Z O.O.,6831917603
GSM-MOTION SP. Z O.O. SP. K.,6981782636
MERCUS PSQ SP. Z O.O.,5272800987
KONSTAL SP. Z O.O.,7441811317
GSK COMMERCIAL SP. Z O.O.,5262833229
MERCER SERVICES POLAND SP. Z O.O.,7010794672
KONSORCJUM MIĘSNE OKRASA. GRUPA POŁUDNIE SP. Z O.O..,6490000848
GRZYBMAR.MATUSZEWSCYW LIKWIDACJI,9950225534
MENTOR S.A.,9560003240
KONSORCJUM HANDLOWE ODRA PAK SP. Z O.O.,6121836858
MENNICA MAZOVIA SP. Z O.O.,7010841153
KONKRET SP. Z O.O.,9482302358
GRZYBMAR SP. Z O.O.,9950138309
MENNICA KAPITAŁOWA SP. Z O.O.,5252678069
KONKO S.A.,2220868411
GRZEGORZ SZTANDERA I ANETA SZTANDERA HURTOWNIA ERW,5881002555
MENARD SP. Z O.O.,5291729492
KONIMPEX CHEMICALS SP. Z O.O.,6652991824
GRYN INVESTMENTS SP. Z O.O. SP. K.,5213623147
MELBUD S.A.,8760205189
GRYGIER SP. Z O.O.,6981845727
KONGSBERG MARITIME CM SP. Z O.O.,5932082074
MEKRO SP. Z O.O.,5590001999
GRYFBUD SP. Z O.O. SP. K.,8513212438
KONGER RECYKLING POLSKA SP. Z O.O.,9512361119
MEKOPRINT CABLES SP. Z O.O.,5360020533
GRUPER SP. Z O.O. SP. K.,6762093730
KONECRANES AND DEMAG SP. Z O.O.,5840301999
MEILLER POLSKA SP. Z O.O.,9452060778
GRUPA ZDROWIE SP. Z O.O.,5671926313
MEGREZ SP. Z O.O.,6342670310
KONECKIE ZAKŁADY ODLEWNICZE S.A.,6580001047
GRUPA WĘGLOSTAL SP. Z O.O.,6312707882
MEGA SIERPC SP. Z O.O.,7761001376
KÖNECKE SP. Z O.O.,5981477022
GRUPA UNIMAX S.A.,9591266064
MEGA S.A.,5860214140
KONCEPT - L S.A.,5262103850
GRUPA SZYMBUD SP. Z O.O. SP. J.,9492221756
MEDYCYNA SPECJALISTYCZNA SP. Z O.O.,9671123929
KOMTEC SP. Z O.O.,5423409986
GRUPA STEFANIUK SP. Z O.O.,4960189323
MEDLOG TRANSPORT POLAND SP. Z O.O.,5862381652
KOMPOL SP. Z O.O.,5341014939
MEDITRANS SP. Z O.O. SP. K.,6572896029
GRUPA SAD EXPORT SP. Z O.O.,8121915613
KOMPAS SPEDYCJA SP. Z O.O. SP. K.,9532637524
MEDICUS SP. Z O.O.,8961017023
GRUPA RECYKL S.A.,7781472682
KOMPAN SP. Z O.O.,8322000168
MEDIAPLUS WARSAW SP. Z O.O.,1080004353
GRUPA PROFBUD SP. Z O.O. SP. K.,5222858022
KOM-EKO S.A.,9542729883
MEDIAEXPERT S.A.,9521899812
GRUPA PRODUCENTÓW WARZYW SZKLARNIOWYCH VEGAPOL SP. Z O.O.,5321834272
KOMAR GROUP SP. Z O.O.,8212680340
MEDIA STAR SP. Z O.O.,9552078789
GRUPA PRODUCENTÓW ROZSAD KRASOŃ SP. Z O.O.,7712875112
KOMA OLSZTYN SP. Z O.O.,7393890861
MEDIA MARKT POLSKA WARSZAWA III,1132485070
GRUPA PRODUCENTÓW ROLNYCH SUFLIDOWO SP. Z O.O.,7692220542
KOLEJOWE ZAKŁADY AUTOMATYKI S.A.,6341008744
MEDIA MARKT POLSKA WARSZAWA II,1132485064
KOLBA SP. Z O.O.,6252483366
GRUPA PRODUCENTÓW ROLNYCH PIAST SP. Z O.O.,6222722412
MEDIA MARKT POLSKA SP. Z O.O. WROCŁAW I SP. K.,1132485087
KOLANKO SP. Z O.O. SP. K.,5891883008
MEDIA MARKT POLSKA SP. Z O.O. WARSZAWA 1 SP. K.,1132484981
GRUPA PRODUCENTÓW ROLNYCH BAKSS SP. Z O.O.,6443449328
KOKSIK SP. Z O.O.,5833193132
MEDIA MARKT POLSKA SP. Z O.O. SZCZECIN SP. K.,1132485058
GRUPA PRODUCENTÓW OWOCÓW I WARZYW BOTOMA SP. Z O.O.,8272201403
KOKI POLAND SP. Z O.O.,8540010963
MEDIA MARKT POLSKA SP. Z O.O. RZESZÓW SP. K.,1132485029
GRUPA PRODUCENTÓW OWOCÓW I WARZYW POLFARM SP. Z O.,5892003104
KOHL-GROUP POLSKA SP. Z O.O. SP. K.,5981582865
MEDIA MARKT POLSKA BIS WROCŁAW V,1132645639
GRUPA PRODUCENTÓW EURO INDYK SP. Z O.O.,5381832302
KOHLER SP. Z O.O.,5212626913
GRUPA PRODUCENTÓW AMAZIS SP. Z O.O.,9721201934
MEDIA MARKT POLSKA BIS WARSZAWA VI,1132490697
KODANO S.A.,6783068677
MEDIA MARKT POLSKA BIS KATOWICE III,1132564243
KOCIUK LOGISTICS SP. Z O.O.,5372531222
GRUPA PRODUCENTÓW AGROS SP. Z O.O.,5562661784
MEDIA DIRECTION SP. Z O.O.,5212201289
GRUPA POWEN-WAFAPOMP S.A.,5250008554
KOCIUK LOGISTIC SP. Z O.O.,5372629458
MEDEV MEDICAL DEVICES POLSKA SP. Z O.O.,7011031551
GRUPA PARTNER SP. Z O.O.,6292232015
KOCIEWSKIE CENTRUM ZDROWIA SP. Z O.O.,5922222674
MEDAC GESELLSCHAFT FUR KLINISCHE SPEZIALPRAPARATE M.B.H. (),1070005397
GRUPA NIEKOTRANS-NOVA SP. Z O.O. SP. K.,9691620430
KOCHAŃSKI & PARTNERS SP. K.,1132192149
MEBLOMASTER GRYGLAS, KRASZEWSKI SP. J.,8240002273
GRUPA MND SP. Z O.O.,5711716356
KOBOS SP. J.,9930496980
MEBLOBRANIE.PL SP. Z O.O.,5272655137
GRUPA MAC S.A.,6570082245
KOBEX SP. Z O.O.,5170421105
MEBLOBŁYSK KRZYSZTOF OLEJNICZAK SP. K.,7671706920
KNS KRAKAU NEUE STADTMITTE G.M.B.H. & CO. KG SP.K.,5252212141
MEBLE.PL S.A.,5170272645
GRUPA LAMBDA SP. Z O.O. DYSTRYBUCJA SP. K.,7792109525
MEBLE NEGRO JERCZYŃSKI SP. K.,6191905895
KNOTT SP. Z O.O.,7820010231
GRUPA KARLIK SP. J.,7822377970
MEAT-PROS SP. Z O.O.,5471968502
KNAUF JAWORZNO III SP. Z O.O.,6321579604
GRUPA INTERIA.PL SP. Z O.O. SP. K.,5272644300
MEATPOL SP. Z O.O.,7922203703
KNAUF IT SERVICES POLSKA SP. Z O.O.,6322017096
GRUPA INDUSTRY S.A.,6310200073
MEAT TEAM POLAND SP. Z O.O.,5242505462
KNAUF INSULATION SP. Z O.O.,7861566557
GRUPA HANDLOWO MARKETINGOWA SP. Z O.O.,6272424668
MEAT SOLUTION SP. Z O.O.,9490058737
K-M IMPORT KOŻUCHOWSKI-MARCINIAK SP. J.,7641194266
MDP POLSKA ITS SP. Z O.O.,7010550378
GRUPA HANDLOWA SANGROUP SP. Z O.O.,7822082909
KŁOSOK SP. Z O.O. SP. K.,6511736515
MDM MECHANICAL INSTALLATION SP. Z O.O. SP. K.,7922290205
GRUPA ENERGIA GE SP. Z O.O.,5272617504
KŁOS PIEKARNIA BRACI KURZYCA SP. K.,9542742872
MDI ENERGIA S.A.,5261033372
GRUPA ELTRON SP. Z O.O.,9662112843
MCM PROJECT SP. Z O.O.,7282755249
KLOCEK SP. Z O.O.,9581663527
GRUPA EKOENERGIA SP. Z O.O.,8361777984
MCKINSEY KNOWLEDGE CENTER POLAND SP. Z O.O.,5252463819
KLIPPAN SAFETY POLSKA SP. Z O.O.,8540011141
GRUPA CSV SP. Z O.O.,5342476033
KLINIKI NEURORADIOCHIRURGII SP. Z O.O.,5252382245
MCKEEN-BEEF SH II SP. Z O.O.,9680997438
GRUPA CHYŻBET SP. Z O.O.,7352892372
KLINICZNY SZPITAL PSYCHIATRYCZNY SPZOZ W RYBNIKU,6422599502
MCI FUND MANAGEMENT SP. Z O.O.,5252420313
MCD DYSTRYBUCJA SP. Z O.O.,5261970763
GRUPA CHORTEN SP. Z O.O.,5423150577
KLIMOR SP. Z O.O.,5860006424
MCCORMICK SHARED SERVICES - EMEA, LLC SP. Z O.O.,5252582168
KLIMAT SOLEC SP. Z O.O.,5542364706
